,#,Name,Type,HP,ATK,DEF,SP.ATK,SP.DEF,SPEED,Icon
0,001,Bulbasaur,"['Poison', 'Grass']",45,49,49,65,65,45,https://img.pokemondb.net/sprites/sword-shield/icon/bulbasaur.png
1,002,Ivysaur,"['Poison', 'Grass']",60,62,63,80,80,60,https://img.pokemondb.net/sprites/sword-shield/icon/ivysaur.png
2,003,Venusaur,"['Poison', 'Grass']",80,82,83,100,100,80,https://img.pokemondb.net/sprites/sword-shield/icon/venusaur.png
3,003,Mega Venusaur,"['Poison', 'Grass']",80,100,123,122,120,80,https://img.pokemondb.net/sprites/sword-shield/icon/venusaur-mega.png
4,004,Charmander,Fire,39,52,43,60,50,65,https://img.pokemondb.net/sprites/sword-shield/icon/charmander.png
5,005,Charmeleon,Fire,58,64,58,80,65,80,https://img.pokemondb.net/sprites/sword-shield/icon/charmeleon.png
6,006,Charizard,"['Flying', 'Fire']",78,84,78,109,85,100,https://img.pokemondb.net/sprites/sword-shield/icon/charizard.png
7,006,Mega Charizard X,"['Dragon', 'Fire']",78,130,111,130,85,100,https://img.pokemondb.net/sprites/sword-shield/icon/charizard-mega-x.png
8,006,Mega Charizard Y,"['Flying', 'Fire']",78,104,78,159,115,100,https://img.pokemondb.net/sprites/sword-shield/icon/charizard-mega-y.png
9,007,Squirtle,Water,44,48,65,50,64,43,https://img.pokemondb.net/sprites/sword-shield/icon/squirtle.png
10,008,Wartortle,Water,59,63,80,65,80,58,https://img.pokemondb.net/sprites/sword-shield/icon/wartortle.png
11,009,Blastoise,Water,79,83,100,85,105,78,https://img.pokemondb.net/sprites/sword-shield/icon/blastoise.png
12,009,Mega Blastoise,Water,79,103,120,135,115,78,https://img.pokemondb.net/sprites/sword-shield/icon/blastoise-mega.png
13,010,Caterpie,Bug,45,30,35,20,20,45,https://img.pokemondb.net/sprites/sword-shield/icon/caterpie.png
14,011,Metapod,Bug,50,20,55,25,25,30,https://img.pokemondb.net/sprites/sword-shield/icon/metapod.png
15,012,Butterfree,"['Flying', 'Bug']",60,45,50,90,80,70,https://img.pokemondb.net/sprites/sword-shield/icon/butterfree.png
16,013,Weedle,"['Poison', 'Bug']",40,35,30,20,20,50,https://img.pokemondb.net/sprites/sword-shield/icon/weedle.png
17,014,Kakuna,"['Poison', 'Bug']",45,25,50,25,25,35,https://img.pokemondb.net/sprites/sword-shield/icon/kakuna.png
18,015,Beedrill,"['Poison', 'Bug']",65,90,40,45,80,75,https://img.pokemondb.net/sprites/sword-shield/icon/beedrill.png
19,015,Mega Beedrill,"['Poison', 'Bug']",65,150,40,15,80,145,https://img.pokemondb.net/sprites/sword-shield/icon/beedrill-mega.png
20,016,Pidgey,"['Flying', 'Normal']",40,45,40,35,35,56,https://img.pokemondb.net/sprites/sword-shield/icon/pidgey.png
21,017,Pidgeotto,"['Flying', 'Normal']",63,60,55,50,50,71,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeotto.png
22,018,Pidgeot,"['Flying', 'Normal']",83,80,75,70,70,101,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeot.png
23,018,Mega Pidgeot,"['Flying', 'Normal']",83,80,80,135,80,121,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeot-mega.png
24,019,Rattata,Normal,30,56,35,25,35,72,https://img.pokemondb.net/sprites/sword-shield/icon/rattata.png
25,019,Alolan Rattata,"['Normal', 'Dark']",30,56,35,25,35,72,https://img.pokemondb.net/sprites/sword-shield/icon/rattata-alolan.png
26,020,Raticate,Normal,55,81,60,50,70,97,https://img.pokemondb.net/sprites/sword-shield/icon/raticate.png
27,020,Alolan Raticate,"['Normal', 'Dark']",75,71,70,40,80,77,https://img.pokemondb.net/sprites/sword-shield/icon/raticate-alolan.png
28,021,Spearow,"['Flying', 'Normal']",40,60,30,31,31,70,https://img.pokemondb.net/sprites/sword-shield/icon/spearow.png
29,022,Fearow,"['Flying', 'Normal']",65,90,65,61,61,100,https://img.pokemondb.net/sprites/sword-shield/icon/fearow.png
30,023,Ekans,Poison,35,60,44,40,54,55,https://img.pokemondb.net/sprites/sword-shield/icon/ekans.png
31,024,Arbok,Poison,60,95,69,65,79,80,https://img.pokemondb.net/sprites/sword-shield/icon/arbok.png
32,025,Pikachu,Electric,35,55,40,50,50,90,https://img.pokemondb.net/sprites/sword-shield/icon/pikachu.png
33,025,Partner Pikachu,Electric,45,80,50,75,60,120,https://img.pokemondb.net/sprites/sword-shield/icon/pikachu-lets-go.png
